Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1954.0,23 Jun 1954 - 18:00 ,Group 4,St. Jakob,Switzerland,4.0,1.0,Italy
1954.0,26 Jun 1954 - 17:00 ,Quarter-finals,St. Jakob,Uruguay,4.0,2.0,England
1954.0,26 Jun 1954 - 17:00 ,Quarter-finals,La Pontaise,Austria,7.0,5.0,Switzerland
1954.0,27 Jun 1954 - 17:00 ,Quarter-finals,Charmilles,Germany FR,2.0,0.0,Yugoslavia
1954.0,27 Jun 1954 - 17:00 ,Quarter-finals,Wankdorf Stadium,Hungary,4.0,2.0,Brazil
1954.0,30 Jun 1954 - 18:00 ,Semi-finals,St. Jakob,Germany FR,6.0,1.0,Austria
1954.0,30 Jun 1954 - 18:00 ,Semi-finals,La Pontaise,Hungary,4.0,2.0,Uruguay
1954.0,03 Jul 1954 - 17:00 ,Match for third place,Hardturm,Austria,3.0,1.0,Uruguay
1954.0,04 Jul 1954 - 17:00 ,Final,Wankdorf Stadium,Germany FR,3.0,2.0,Hungary
1958.0,08 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Sweden,3.0,0.0,Mexico
1958.0,08 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Soviet Union,2.0,2.0,England
1958.0,08 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Argentina,1.0,3.0,Germany FR
1958.0,08 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Hungary,1.0,1.0,Wales
1958.0,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,France,7.0,3.0,Paraguay
1958.0,08 Jun 1958 - 19:00 ,Group 2,Arosvallen,Yugoslavia,1.0,1.0,Scotland
1958.0,08 Jun 1958 - 19:00 ,Group 4,Rimnersvallen,Brazil,3.0,0.0,Austria
1958.0,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Northern Ireland,1.0,0.0,Czechoslovakia
1958.0,11 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Brazil,0.0,0.0,England
1958.0,11 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Mexico,1.0,1.0,Wales
1958.0,11 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Paraguay,3.0,2.0,Scotland
1958.0,11 Jun 1958 - 19:00 ,Group 2,Arosvallen,Yugoslavia,3.0,2.0,France
1958.0,11 Jun 1958 - 19:00 ,Group 4,Ryavallen,Soviet Union,2.0,0.0,Austria
1958.0,11 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Germany FR,2.0,2.0,Czechoslovakia
1958.0,11 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Argentina,3.0,1.0,Northern Ireland
1958.0,12 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Sweden,2.0,1.0,Hungary
